,Subzone,Area_km2
78,PIONEER SECTOR,2.8148052828087122
79,PENJURU CRESCENT,3.0702440610811816
80,ORANGE GROVE,0.338485085814845
81,KAMPONG BUGIS,0.7464294080872962
82,BOULEVARD,0.4636510860732473
83,ISTANA NEGARA,0.5471426627200358
84,LITTLE INDIA,0.2801771827290223
85,GUL BASIN,1.7813947992171435
86,FORT CANNING,0.38768578156696937
87,FARRER COURT,0.562522183483122
88,TUAS VIEW,5.713952605356131
89,NASSIM,2.1101967871381704
90,WEST COAST,0.727452102888248
91,BAYSHORE,2.56762185842087
92,BENOI SECTOR,2.0563676267420674
93,GUL CIRCLE,3.28232246182921
94,CHATSWORTH,1.3552158324466181
95,KAMPONG GLAM,0.17248787140096625
96,SELEGIE,0.04996012288326518
97,MOUNT EMILY,0.19529839343658104
98,ROCHOR CANAL,0.12098035637518427
99,CRAWFORD,0.8565820779261807
100,MARGARET DRIVE,1.0333780330381819
101,TANGLIN,0.16866500680410107
102,MARINE PARADE,1.167825447698787
103,JURONG RIVER,2.578230077242718
104,GEYLANG BAHRU,0.7404535823455475
105,FABER,0.9545405360346356
106,MALCOLM,1.3299838287208463
107,BEDOK SOUTH,3.017474657703766
108,BENDEMEER,1.3860989543505875
109,BALESTIER,1.9395923568230111
110,TUAS BAY,3.2248358514635833
111,JOO KOON,2.365179336706932
112,KALLANG WAY,0.969682908150846
113,INTERNATIONAL BUSINESS PARK,0.48828650052296796
114,TUKANG,1.8939625474014157
115,CORONATION ROAD,1.434676408549056
116,KEMBANGAN,2.4033444549418546
117,KATONG,1.0862547265460443
118,HOLLAND DRIVE,0.4626399977568878
119,FARRER PARK,0.24955649522116893
120,NEWTON CIRCUS,0.2150195686610112
121,JURONG PORT,2.481441029533799
122,SAMULUN,1.9537487847636517
123,SHIPYARD,2.1327485489906755
124,GHIM MOH,0.4883121629879972
125,LAVENDER,0.7630100181097946
126,GOODWOOD PARK,0.3536069579876264
127,PANDAN,1.3217593108189938
128,SINGAPORE POLYTECHNIC,0.9530237735957203
129,CLEMENTI CENTRAL,0.7530782858225717
130,KAMPONG JAVA,1.0291747098261605
131,BOON KENG,0.4137613256298779
132,KALLANG BAHRU,0.8451404699978243
133,ULU PANDAN,1.2367573727607848
134,JURONG GATEWAY,0.55835613263293
135,HOLLAND ROAD,3.41573612381252
136,KAMPONG UBI,1.8907339535264367
137,SENNETT,0.8735918527279763
138,POTONG PASIR,0.6434461972496078
139,TUAS NORTH,3.2820654393540702
140,PEI CHUN,0.4141735785929011
141,BOON TECK,0.42147577851765333
142,KIAN TECK,2.1122897735470696
143,SAFTI,1.5348042506091193
144,WOODLEIGH,0.818858512384316
145,TAMAN JURONG,1.4942833406589027
146,LAKESIDE,3.1289372281547783
147,TOA PAYOH WEST,1.0442641842563627
148,KAKI BUKIT,2.839152497187673
149,YUHUA EAST,0.9309855577263298
150,BUKIT BATOK SOUTH,1.8187119082201617
151,JURONG WEST CENTRAL,1.4139848097051475
152,BEDOK RESERVOIR,2.3953431144239845
153,TOH TUCK,2.0917808528492854
154,MOUNT PLEASANT,3.164109065639364
155,HILLCREST,2.654232448750539
156,JOO SENG,1.0642815013107003
157,CHIN BEE,1.2966147077222543
158,LORONG 8 TOA PAYOH,0.44260644102545293
159,TOH GUAN,0.7519086136828448
160,BRADDELL,0.449245894977682
161,BIDADARI,0.5763559867721341
162,ALJUNIED,2.97928888258283
163,TYERSALL,2.1728199871652945
164,MOULMEIN,1.3565275407694268
165,LIU FANG,2.3546443854407695
166,FRANKEL,4.326060497383177
167,CLEMENTI NORTH,0.997710478298713
168,LEEDON PARK,2.06334873986006
169,GEYLANG EAST,2.5964471553494652
170,TEBAN GARDENS,3.2090352030986207
171,BOON LAY PLACE,0.9124145238707881
172,BUKIT BATOK EAST,0.3827606468988163
173,BUKIT BATOK WEST,0.5299256473167766
174,BUKIT BATOK CENTRAL,0.8056845144077109
175,UPPER PAYA LEBAR,0.9046099260252024
176,HONG KAH,1.8055302871264733
177,TUAS PROMENADE,3.20952190040918
178,AIRPORT ROAD,0.4978323627422472
179,SERANGOON CENTRAL,1.0690375179134874
180,BISHAN EAST,1.8065413508801058
181,TAMPINES WEST,3.4985936899956727
182,BRICKWORKS,1.23392165875217
183,DEFU INDUSTRIAL PARK,1.9876605104629725
184,GUILIN,1.0923826763280569
185,MARYMOUNT,1.9773569712419956
186,WENYA,1.988228836005094
187,NATURE RESERVE,4.169197744408206
188,TAMPINES EAST,4.369021011706922
189,TAI SENG,1.8081485141814313
190,TENGEH,2.2662882705971588
191,YUHUA WEST,0.7813650482016726
192,YUNNAN,2.2211449348728096
193,LORONG CHUAN,1.1880704394423356
194,DUNEARN,1.2381742959450739
195,SUNSET WAY,0.9711759320758205
196,MACPHERSON,1.271913960057873
197,KIM KEAT,0.372259776631726
198,BEDOK NORTH,3.2252209364359437
199,TOA PAYOH CENTRAL,1.114721337655355
200,PAYA LEBAR NORTH,1.296050269417012
201,HOUGANG EAST,0.8483396684557071
202,LORONG HALUS,1.3425083592311458
203,KANGKAR,1.0141897379891014
204,SEMBAWANG HILLS,0.9005377153698659
205,JELEBU,0.9173410196022742
206,KEAT HONG,1.1515107717853503
207,HOUGANG WEST,1.3378207440629593
208,PAYA LEBAR WEST,0.6139991666134441
209,BANGKIT,0.7683201149540236
210,ANAK BUKIT,2.78698723878763
211,SWISS CLUB,3.4903761509937765
212,XILIN,7.886688645027465
213,SIMEI,2.797329332008444
214,PENG SIANG,0.8685423268314872
215,PASIR RIS WEST,1.594093855781857
216,YIO CHU KANG WEST,0.8518329518282233
217,TRAFALGAR,1.734103195004267
218,TECK WHYE,1.008332284934356
219,CHOA CHU KANG CENTRAL,1.1046829551235604
220,CHANGI WEST,4.881124875064049
221,FAJAR,0.6729533944612349
222,SENJA,0.6290829189069093
223,SAUJANA,0.6795348524401146
224,SELETAR HILLS,2.3463718709376518
225,COMPASSVALE,1.0853992059298474
226,YIO CHU KANG EAST,1.8744052527462236
227,YIO CHU KANG,0.9155405263543666
228,LOYANG WEST,2.1290135360947593
229,TAGORE,3.3566367600869556
230,LORONG AH SOO,1.5257348465270435
231,FLORA DRIVE,0.9513546538283901
232,HILLVIEW,2.0041873289203704
233,CHANGI BAY,1.8421125916859502
234,PAYA LEBAR EAST,2.274443064701758
235,UPPER THOMSON,3.8863123918057783
236,HONG KAH NORTH,0.8649611168594792
237,TOWNSVILLE,0.5500821282177626
238,KOVAN,1.9617298219750454
239,CHONG BOON,1.0858832929798328
240,SHANGRI-LA,0.6925611095757743
241,SERANGOON GARDEN,3.0434993787089333
242,HOUGANG CENTRAL,0.44470680610306584
243,LOYANG EAST,0.9765922499800939
244,DAIRY FARM,1.2442201707445508
245,PASIR RIS DRIVE,1.6506991446468613
246,TAMPINES NORTH,2.5602177934656978
247,CHENG SAN,0.9621436639447891
248,ANG MO KIO TOWN CENTRE,0.31901516168312166
249,KEBUN BAHRU,1.0534612054675347
250,SERANGOON NORTH IND ESTATE,0.9276334640673316
251,TENGAH,7.420150148993832
252,SERANGOON NORTH,0.6893131577839541
253,PASIR RIS CENTRAL,1.521656204165635
254,GOMBAK,2.475648051716181
255,PLAB,7.082151053021339
256,KRANJI,3.6766071134711487
257,PASIR RIS PARK,1.73127332083518
258,CHOA CHU KANG NORTH,1.0959636900352794
259,RIVERVALE,1.5795943597151865
260,SENGKANG WEST,1.6812711732977135
261,FERNVALE,2.3118730919641997
262,PUNGGOL FIELD,1.3879887341759944
263,YEW TEE,0.9294272383614853
264,PASIR RIS WAFER FAB PARK,5.264668951838184
265,MATILDA,1.3419492591275568
266,WATERWAY EAST,1.437921555094033
267,GALI BATU,5.221030210601777
268,CHANGI AIRPORT,35.331996660344025
269,YIO CHU KANG NORTH,1.473128231213485
270,CHANGI POINT,1.0026421880029195
271,SENGKANG TOWN CENTRE,1.465302656753926
272,ANCHORVALE,1.4340681886416444
273,LORONG HALUS NORTH,0.9310901749811333
274,YISHUN SOUTH,1.3491889591981938
275,LOWER SELETAR,8.510213827139998
276,NORTHSHORE,1.3691529088570367
277,MANDAI ESTATE,0.14410142102204776
278,YISHUN CENTRAL,0.4393057873545566
279,PULAU PUNGGOL TIMOR,1.1478290985816864
280,TURF CLUB,3.3135558084856154
281,WOODLANDS SOUTH,1.5866089873818185
282,WOODGROVE,1.6766781780433722
283,YISHUN EAST,1.7789872602811418
284,WESTERN WATER CATCHMENT,70.21736307347076
285,PULAU PUNGGOL BARAT,1.9595552429851828
286,YISHUN WEST,1.5279836076303295
287,WOODLANDS REGIONAL CENTRE,0.599661039971842
288,RESERVOIR VIEW,3.306228254318202
289,WOODLANDS EAST,2.5706502528024253
290,SEMBAWANG CENTRAL,0.9689153876158005
291,GREENWOOD PARK,1.2899198395360576
292,SEMBAWANG EAST,0.7632263225573066
293,SENOKO WEST,0.9120183647399173
294,PULAU SELETAR,1.6221235869795096
295,ADMIRALTY,1.27014065377203
296,LIM CHU KANG,17.612573954839917
297,SIMPANG NORTH,3.47367969788317
298,SENOKO SOUTH,1.7536818156294947
299,SEMBAWANG NORTH,1.4042541091840095
300,TANJONG IRAU,1.081606433306326
301,NORTH-EASTERN ISLANDS,67.7024019206815
302,MANDAI EAST,7.284513608715997
303,SIMPANG SOUTH,2.1615339740180004
304,NORTHLAND,1.5211708301049565
305,MIDVIEW,0.9427180195689849
306,WOODLANDS WEST,1.6597251707650058
307,SEMBAWANG SPRINGS,1.106794673710492
308,SPRINGLEAF,2.224081836364754
309,PUNGGOL TOWN CENTRE,1.1943184539542733
310,NEE SOON,2.2215493755282716
311,PUNGGOL CANAL,1.0343303007518192
312,CENTRAL WATER CATCHMENT,37.39790908471038
313,SELETAR,3.575448818396292
314,PANG SUA,2.1900182952358116
315,SELETAR AEROSPACE PARK,3.567071548468929
316,KHATIB,1.4425583464680005
317,MANDAI WEST,4.416660628930777
318,CONEY ISLAND,0.9644712405942167
319,NORTH COAST,2.4672773274057933
320,SEMBAWANG STRAITS,1.5511041473743397
321,THE WHARVES,1.6468181106098323
322,SENOKO NORTH,2.256472096075225
