,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
151,CLARKE QUAY,0.4375,0.4268292682926829,0.4444444444444444,0.8677685950413223,0.8366013071895425,0.6887755102040817,0.7983870967741935,82.01714390616787,444.9946271419318
152,MIDVIEW,0.20833333333333334,0.18292682926829268,0.09259259259259259,0.2644628099173554,0.19607843137254902,0.22959183673469388,0.29838709677419356,26.833690092883778,37413.09624708946
153,NORTH COAST,0.041666666666666664,0.036585365853658534,0.018518518518518517,0.008264462809917356,0.0915032679738562,0.0663265306122449,0.06854838709677419,6.0399365593913785,4904.191298479805
154,SIMEI,0.5208333333333334,0.4146341463414634,0.7592592592592593,0.3140495867768595,0.3660130718954248,0.25510204081632654,0.2056451612903226,51.67706415526738,14102.737045864902
155,SEMBAWANG STRAITS,0.0,0.036585365853658534,0.009259259259259259,0.08264462809917356,0.006535947712418301,0.015306122448979591,0.04032258064516129,3.4746277055359633,1231.3808864692858
156,KAMPONG TIONG BAHRU,0.375,0.573170731707317,0.3055555555555556,0.38016528925619836,0.33986928104575165,0.32142857142857145,0.2903225806451613,47.12041805767203,24497.468366258392
157,ONE NORTH,0.4375,0.5853658536585366,0.8055555555555556,0.2892561983471074,0.24183006535947713,0.3010204081632653,0.14112903225806453,51.05961757005384,348.5898762615594
158,CHOA CHU KANG CENTRAL,0.375,0.12195121951219512,0.3148148148148148,0.32231404958677684,0.3006535947712418,0.4030612244897959,0.2217741935483871,37.53521797403161,20394.991970777704
159,CONEY ISLAND,0.0,0.0,0.0,0.03305785123966942,0.0196078431372549,0.00510204081632653,0.020161290322580645,1.4202402647691859,0.0
160,GOMBAK,0.4166666666666667,0.23170731707317074,0.16666666666666666,0.35537190082644626,0.21568627450980393,0.15306122448979592,0.15725806451612903,30.916866937601405,4011.0709570030667
161,FABER,0.20833333333333334,0.12195121951219512,0.19444444444444445,0.3305785123966942,0.3333333333333333,0.413265306122449,0.33064516129032256,35.2203452646984,5615.267029168379
162,SHIPYARD,0.0,0.024390243902439025,0.027777777777777776,0.08264462809917356,0.05228758169934641,0.01020408163265306,0.020161290322580645,3.963265345035125,0.0
